datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RFC,WEST,ATSI,PAPWR,434.846,True
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RFC,MIDATL,PE,PE,3146.023,False
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2024.832,False
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RFC,MIDATL,PL,PLCO,3462.372,False
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RFC,MIDATL,PN,PN,1499.045,True
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RFC,MIDATL,PS,PS,3763.387,False
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RFC,MIDATL,RECO,RECO,116.874,False
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RFC,MIDATL,PEP,SMECO,295.218,True
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RFC,MIDATL,PL,UGI,91.102,True
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RFC,MIDATL,AE,VMEU,64.633,False
11/1/2025 5:00:00 AM,11/1/2025 1:00:00 AM,RTO,RTO,RTO,RTO,74796.383,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,AE,AECO,744.223,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPAPT,3835.476,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2740.343,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPKPT,595.573,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6722.598,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,AP,AP,4562.246,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,BC,BC,2487.124,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,CE,CE,8458.788,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,DAY,DAY,1538.701,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,DEOK,DEOK,2283.621,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,SERC,SOUTH,DOM,DOM,12665.608,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1492.143,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,DUQ,DUQ,1065.131,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,DPL,EASTON,19.289,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,SERC,WEST,EKPC,EKPC,1493.017,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,JC,JC,1819.616,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,ME,ME,1239.581,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,ATSI,OE,5398.935,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,OVEC,OVEC,36.000,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,WEST,ATSI,PAPWR,431.369,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,PE,PE,3097.243,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,1990.945,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,PL,PLCO,3412.348,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,PN,PN,1477.606,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,PS,PS,3652.319,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,RECO,RECO,114.844,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,PEP,SMECO,292.034,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,PL,UGI,88.832,True
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RFC,MIDATL,AE,VMEU,63.605,False
11/1/2025 6:00:00 AM,11/1/2025 2:00:00 AM,RTO,RTO,RTO,RTO,73819.158,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,AE,AECO,752.746,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3842.031,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2769.252,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPKPT,598.353,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6749.150,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,AP,AP,4552.674,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,BC,BC,2477.046,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,CE,CE,8310.644,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,DAY,DAY,1528.701,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,DEOK,DEOK,2266.493,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,SERC,SOUTH,DOM,DOM,12647.167,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,DPL,DPLCO,1490.364,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,DUQ,DUQ,1073.368,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,DPL,EASTON,19.207,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,SERC,WEST,EKPC,EKPC,1514.042,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,JC,JC,1790.029,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,ME,ME,1225.380,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,ATSI,OE,5395.420,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,OVEC,OVEC,32.000,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,WEST,ATSI,PAPWR,430.434,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,PE,PE,3051.341,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,1950.488,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,PL,PLCO,3383.621,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,PN,PN,1468.878,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,PS,PS,3590.293,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,RECO,RECO,113.433,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,PEP,SMECO,295.647,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,PL,UGI,88.953,True
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RFC,MIDATL,AE,VMEU,62.405,False
11/1/2025 7:00:00 AM,11/1/2025 3:00:00 AM,RTO,RTO,RTO,RTO,73469.560,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,AE,AECO,750.314,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPAPT,3906.493,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPIMP,2783.940,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPKPT,611.996,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6764.670,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,AP,AP,4598.217,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,BC,BC,2505.477,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,CE,CE,8213.673,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,DAY,DAY,1535.716,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,DEOK,DEOK,2260.799,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,SERC,SOUTH,DOM,DOM,12805.100,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1507.286,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,DUQ,DUQ,1067.806,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,DPL,EASTON,19.771,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,SERC,WEST,EKPC,EKPC,1546.676,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,JC,JC,1774.943,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,ME,ME,1237.767,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,ATSI,OE,5518.213,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,OVEC,OVEC,31.000,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,WEST,ATSI,PAPWR,445.990,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,PE,PE,3104.881,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,1968.597,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,PL,PLCO,3421.449,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,PN,PN,1485.206,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,PS,PS,3585.166,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,RECO,RECO,113.178,False
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,PEP,SMECO,303.432,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,PL,UGI,89.534,True
11/1/2025 8:00:00 AM,11/1/2025 4:00:00 AM,RFC,MIDATL,AE,VMEU,62.595,False
