timestamp,zone,load
11/1/2022 12:00:00 AM,AECO,774.812
11/1/2022 12:00:00 AM,VMEU,65.001
11/1/2022 12:00:00 AM,UGI,77.309
11/1/2022 12:00:00 AM,SMECO,248.124
11/1/2022 12:00:00 AM,RECO,117.132
11/1/2022 12:00:00 AM,PS,3884.894
11/1/2022 12:00:00 AM,PN,1592.788
11/1/2022 12:00:00 AM,PEPCO,2029.695
11/1/2022 12:00:00 AM,PE,3096.997
11/1/2022 12:00:00 AM,PAPWR,433.721
11/1/2022 12:00:00 AM,OVEC,41.0
11/1/2022 12:00:00 AM,OE,5401.249
11/1/2022 12:00:00 AM,ME,1380.426
11/1/2022 12:00:00 AM,JC,1809.888
11/1/2022 12:00:00 AM,PLCO,3499.837
11/1/2022 12:00:00 AM,EASTON,18.053
11/1/2022 12:00:00 AM,EKPC,999.4
11/1/2022 12:00:00 AM,AEPAPT,3358.75
11/1/2022 12:00:00 AM,AEPIMP,2565.373
11/1/2022 12:00:00 AM,AEPKPT,507.208
11/1/2022 12:00:00 AM,AEPOPT,5074.959
11/1/2022 12:00:00 AM,BC,2492.796
11/1/2022 12:00:00 AM,AP,4432.349
11/1/2022 12:00:00 AM,DAY,1526.0
11/1/2022 12:00:00 AM,DEOK,2206.29
11/1/2022 12:00:00 AM,DOM,9967.084
11/1/2022 12:00:00 AM,DPLCO,1431.27
11/1/2022 12:00:00 AM,DUQ,1167.003
11/1/2022 12:00:00 AM,CE,8441.272
11/1/2022 1:00:00 AM,OE,5244.602
11/1/2022 1:00:00 AM,PEPCO,1959.615
11/1/2022 1:00:00 AM,OVEC,36.0
11/1/2022 1:00:00 AM,PAPWR,460.328
11/1/2022 1:00:00 AM,PE,2992.948
11/1/2022 1:00:00 AM,PLCO,3408.985
11/1/2022 1:00:00 AM,PS,3757.636
11/1/2022 1:00:00 AM,RECO,112.764
11/1/2022 1:00:00 AM,SMECO,235.237
11/1/2022 1:00:00 AM,UGI,77.47
11/1/2022 1:00:00 AM,VMEU,63.215
11/1/2022 1:00:00 AM,ME,1338.61
11/1/2022 1:00:00 AM,PN,1553.597
11/1/2022 1:00:00 AM,JC,1739.507
11/1/2022 1:00:00 AM,BC,2397.984
11/1/2022 1:00:00 AM,EASTON,17.434
11/1/2022 1:00:00 AM,EKPC,948.314
11/1/2022 1:00:00 AM,AEPAPT,3272.314
11/1/2022 1:00:00 AM,AEPIMP,2490.744
11/1/2022 1:00:00 AM,AEPKPT,494.061
11/1/2022 1:00:00 AM,AEPOPT,4936.431
11/1/2022 1:00:00 AM,AP,4303.81
11/1/2022 1:00:00 AM,AECO,752.557
11/1/2022 1:00:00 AM,CE,8149.437
11/1/2022 1:00:00 AM,DAY,1488.0
11/1/2022 1:00:00 AM,DEOK,2107.907
11/1/2022 1:00:00 AM,DOM,9719.573
11/1/2022 1:00:00 AM,DPLCO,1386.469
11/1/2022 1:00:00 AM,DUQ,1137.686
11/1/2022 2:00:00 AM,OE,5176.443
11/1/2022 2:00:00 AM,OVEC,39.0
11/1/2022 2:00:00 AM,PAPWR,456.312
11/1/2022 2:00:00 AM,PE,2929.08
11/1/2022 2:00:00 AM,PEPCO,1902.28
11/1/2022 2:00:00 AM,PN,1556.363
11/1/2022 2:00:00 AM,SMECO,229.722
11/1/2022 2:00:00 AM,RECO,110.621
11/1/2022 2:00:00 AM,ME,1317.698
11/1/2022 2:00:00 AM,UGI,75.96
11/1/2022 2:00:00 AM,VMEU,62.162
11/1/2022 2:00:00 AM,PS,3700.655
11/1/2022 2:00:00 AM,JC,1701.014
11/1/2022 2:00:00 AM,PLCO,3329.825
11/1/2022 2:00:00 AM,EASTON,17.248
11/1/2022 2:00:00 AM,AEPAPT,3259.157
11/1/2022 2:00:00 AM,AEPIMP,2454.472
11/1/2022 2:00:00 AM,AEPKPT,484.883
11/1/2022 2:00:00 AM,AEPOPT,4879.251
11/1/2022 2:00:00 AM,AP,4258.334
11/1/2022 2:00:00 AM,BC,2349.744
11/1/2022 2:00:00 AM,AECO,739.956
11/1/2022 2:00:00 AM,CE,7966.298
11/1/2022 2:00:00 AM,DAY,1461.0
11/1/2022 2:00:00 AM,DEOK,2061.903
11/1/2022 2:00:00 AM,DOM,9612.449
11/1/2022 2:00:00 AM,DPLCO,1362.429
11/1/2022 2:00:00 AM,DUQ,1126.996
11/1/2022 2:00:00 AM,EKPC,968.535
11/1/2022 3:00:00 AM,OE,5152.357
11/1/2022 3:00:00 AM,OVEC,33.0
11/1/2022 3:00:00 AM,PAPWR,425.916
11/1/2022 3:00:00 AM,PE,2904.493
11/1/2022 3:00:00 AM,PEPCO,1896.546
11/1/2022 3:00:00 AM,PLCO,3359.115
11/1/2022 3:00:00 AM,RECO,109.89
11/1/2022 3:00:00 AM,PS,3661.789
11/1/2022 3:00:00 AM,SMECO,229.78
11/1/2022 3:00:00 AM,UGI,75.969
11/1/2022 3:00:00 AM,VMEU,62.009
11/1/2022 3:00:00 AM,ME,1324.701
11/1/2022 3:00:00 AM,PN,1565.833
11/1/2022 3:00:00 AM,JC,1697.692
11/1/2022 3:00:00 AM,EASTON,17.329
11/1/2022 3:00:00 AM,AECO,730.185
11/1/2022 3:00:00 AM,AEPAPT,3233.06
11/1/2022 3:00:00 AM,AEPIMP,2451.705
11/1/2022 3:00:00 AM,AEPKPT,485.928
11/1/2022 3:00:00 AM,AEPOPT,4876.314
11/1/2022 3:00:00 AM,AP,4229.637
11/1/2022 3:00:00 AM,EKPC,1033.441
11/1/2022 3:00:00 AM,CE,7845.261
11/1/2022 3:00:00 AM,DAY,1449.0
11/1/2022 3:00:00 AM,DEOK,2048.676
11/1/2022 3:00:00 AM,DOM,9613.051
11/1/2022 3:00:00 AM,DPLCO,1354.927
11/1/2022 3:00:00 AM,DUQ,1120.381
11/1/2022 3:00:00 AM,BC,2343.362
11/1/2022 4:00:00 AM,ME,1355.481
11/1/2022 4:00:00 AM,OE,5220.433
11/1/2022 4:00:00 AM,OVEC,35.0
11/1/2022 4:00:00 AM,PAPWR,431.484
11/1/2022 4:00:00 AM,PE,2971.752
11/1/2022 4:00:00 AM,PEPCO,1931.725
11/1/2022 4:00:00 AM,RECO,111.757
11/1/2022 4:00:00 AM,PN,1568.795
11/1/2022 4:00:00 AM,PS,3704.893
11/1/2022 4:00:00 AM,SMECO,238.544
11/1/2022 4:00:00 AM,UGI,78.959
11/1/2022 4:00:00 AM,VMEU,62.667
11/1/2022 4:00:00 AM,JC,1730.35
11/1/2022 4:00:00 AM,PLCO,3453.702
11/1/2022 4:00:00 AM,EKPC,1093.051
11/1/2022 4:00:00 AM,DUQ,1135.371
11/1/2022 4:00:00 AM,EASTON,17.933
11/1/2022 4:00:00 AM,AECO,742.954
11/1/2022 4:00:00 AM,AEPAPT,3281.369
11/1/2022 4:00:00 AM,AEPIMP,2490.702
11/1/2022 4:00:00 AM,AEPOPT,4918.207
11/1/2022 4:00:00 AM,AP,4312.114
11/1/2022 4:00:00 AM,AEPKPT,488.203
11/1/2022 4:00:00 AM,CE,7803.157
11/1/2022 4:00:00 AM,DAY,1487.0
11/1/2022 4:00:00 AM,DEOK,2085.996
11/1/2022 4:00:00 AM,DOM,9794.6
11/1/2022 4:00:00 AM,DPLCO,1387.105
11/1/2022 4:00:00 AM,BC,2397.553
11/1/2022 5:00:00 AM,PEPCO,2092.674
11/1/2022 5:00:00 AM,OE,5511.523
11/1/2022 5:00:00 AM,OVEC,34.0
11/1/2022 5:00:00 AM,PAPWR,444.851
11/1/2022 5:00:00 AM,PE,3220.78
11/1/2022 5:00:00 AM,PLCO,3702.32
11/1/2022 5:00:00 AM,PS,3877.557
11/1/2022 5:00:00 AM,RECO,117.378
11/1/2022 5:00:00 AM,SMECO,262.47
11/1/2022 5:00:00 AM,UGI,88.16
11/1/2022 5:00:00 AM,VMEU,66.661
11/1/2022 5:00:00 AM,ME,1460.586
11/1/2022 5:00:00 AM,PN,1662.37
11/1/2022 5:00:00 AM,JC,1841.72
11/1/2022 5:00:00 AM,CE,8028.242
11/1/2022 5:00:00 AM,EASTON,18.98
11/1/2022 5:00:00 AM,AEPAPT,3479.368
11/1/2022 5:00:00 AM,AEPIMP,2617.621
11/1/2022 5:00:00 AM,AEPKPT,508.53
11/1/2022 5:00:00 AM,AEPOPT,5212.755
11/1/2022 5:00:00 AM,AP,4535.253
11/1/2022 5:00:00 AM,BC,2566.665
11/1/2022 5:00:00 AM,AECO,786.262
11/1/2022 5:00:00 AM,DAY,1573.0
11/1/2022 5:00:00 AM,DEOK,2215.504
11/1/2022 5:00:00 AM,DOM,10359.117
11/1/2022 5:00:00 AM,DPLCO,1487.38
11/1/2022 5:00:00 AM,DUQ,1202.344
11/1/2022 5:00:00 AM,EKPC,1092.223
11/1/2022 6:00:00 AM,OVEC,40.0
11/1/2022 6:00:00 AM,PAPWR,495.471
11/1/2022 6:00:00 AM,PE,3545.02
11/1/2022 6:00:00 AM,PEPCO,2356.931
11/1/2022 6:00:00 AM,PLCO,4105.598
11/1/2022 6:00:00 AM,PN,1852.93
11/1/2022 6:00:00 AM,SMECO,302.178
11/1/2022 6:00:00 AM,RECO,131.089
11/1/2022 6:00:00 AM,UGI,98.559
11/1/2022 6:00:00 AM,VMEU,73.836
11/1/2022 6:00:00 AM,OE,6023.649
11/1/2022 6:00:00 AM,PS,4253.619
11/1/2022 6:00:00 AM,ME,1631.464
11/1/2022 6:00:00 AM,JC,2071.709
11/1/2022 6:00:00 AM,AECO,868.923
11/1/2022 6:00:00 AM,EKPC,1184.042
11/1/2022 6:00:00 AM,AEPAPT,3798.16
11/1/2022 6:00:00 AM,AEPIMP,2843.958
11/1/2022 6:00:00 AM,AEPKPT,548.312
11/1/2022 6:00:00 AM,AP,4905.312
11/1/2022 6:00:00 AM,BC,2866.291
11/1/2022 6:00:00 AM,AEPOPT,5655.396
11/1/2022 6:00:00 AM,DAY,1747.0
11/1/2022 6:00:00 AM,DEOK,2460.529
11/1/2022 6:00:00 AM,DOM,11233.232
11/1/2022 6:00:00 AM,DPLCO,1672.984
11/1/2022 6:00:00 AM,DUQ,1301.422
11/1/2022 6:00:00 AM,EASTON,21.927
11/1/2022 6:00:00 AM,CE,8575.232
11/1/2022 7:00:00 AM,PEPCO,2557.987
11/1/2022 7:00:00 AM,OE,6454.531
11/1/2022 7:00:00 AM,OVEC,40.0
11/1/2022 7:00:00 AM,PAPWR,541.793
11/1/2022 7:00:00 AM,PE,3816.801
11/1/2022 7:00:00 AM,PLCO,4421.226
11/1/2022 7:00:00 AM,ME,1718.01
11/1/2022 7:00:00 AM,PS,4603.142
11/1/2022 7:00:00 AM,RECO,146.884
11/1/2022 7:00:00 AM,SMECO,320.29
